time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693102117,15.73200530872504,2.657000948623337,0.859606364122205,0.4618162358526757,10.114354748436346,8.801750778830595,0.3179661081796968,0.6289317738755162,2.546667488117378,1.1389699477561939,0,0.3797108434269487,5.42736033907145,2.435004598628479,1.1167253797136871,202379264,71147520,11169792,424964096,107749376,324317184,37261312,11251712,297926656,93192192,4018176,2957312,297459712,12722176,36020224,22,6,20,6,6,2,6,34,0,0,0,0,0,0.008543802423112767,0.0030778727445394108,0.0290648854961832,0.017320954907161807,0.0014869565217391304,0.0030168067226890756,0.0033129770992366405,0.0026497234658941268,0.023956185567010308,0.0047401709401709395,0.06638349514563108,0.05051282051282051,0.004297391304347826,0.004630252100840336,0.006646153846153841,0.004573768764814327
1693102118,15.73200530872504,3.162648403077896,0.859606364122205,0.4618162358526757,10.114354748436346,8.801750778830595,0.3179661081796968,0.6289317738755162,2.239070451703251,1.1389699477561939,0,0.3797108434269487,5.42736033907145,2.435004598628479,1.1167253797136871,202379264,71294976,11169792,424964096,107749376,324317184,37261312,11251712,297926656,93192192,4018176,2957312,297459712,12722176,36020224,28,12,50,6,4,2,6,46,0,0,0,0,0,0.008543802423112767,0.0030778727445394108,0.0290648854961832,0.017320954907161807,0.0014869565217391304,0.0030168067226890756,0.0033129770992366405,0.0026497234658941268,0.023956185567010308,0.0047401709401709395,0.06638349514563108,0.05051282051282051,0.004297391304347826,0.004630252100840336,0.006646153846153841,0.004573768764814327
1693102119,15.73200530872504,3.162648403077896,0.7430415826935887,0.4618162358526757,8.616587382772064,8.801750778830595,0.3179661081796968,0.6289317738755162,2.2833183782364146,1.1389699477561939,0,0.3797108434269487,5.42736033907145,2.435004598628479,1.1167253797136871,202379264,71294976,11169792,424964096,107749376,324317184,37261312,11251712,297926656,93192192,4018176,2957312,297459712,12722176,36020224,32.007,12,48,13.273,11.455,2,13.455,61.135,0,0,0,0,0,0.008588395133442284,0.0030816856546771695,0.0290648854961832,0.017321965299888373,0.0014862408777786703,0.0030168067226890756,0.003312835784533716,0.0026496598489003697,0.024085575455719266,0.004747034178418905,0.06638349514563108,0.05051874905770096,0.004297248175555734,0.004630252100840336,0.006644475902368391,0.004573748031635379
1693102120,15.73200530872504,3.1626484030778967,0.8631673810308824,0.4618162358526757,8.088112666670277,8.801750778830595,0.3179661081796968,0.6289317738755162,2.6548755919898106,1.1117917891499487,0,0.3797108434269487,5.42736033907145,2.435004598628479,1.1167253797136871,202379264,71294976,11341824,424964096,107749376,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297459712,12722176,36020224,40,26,62,16,16,2,16,106,0,0,0,0,0,0.00859478672985782,0.0030799238820171265,0.0290648854961832,0.017320954907161807,0.0014869565217391304,0.003018348623853211,0.0033129770992366405,0.0026497234658941268,0.02421660958904109,0.004743862987630827,0.06638349514563108,0.05051282051282051,0.004297391304347826,0.00463302752293578,0.006646153846153841,0.004573768764814327
1693102121,15.73200530872504,3.188843016759778,0.8631673810308824,0.39358801829695234,9.921953034318424,8.801750778830595,0.3179661081796968,0.6289317738755162,2.6548755919898106,1.1117917891499487,0,0.3797108434269487,5.42736033907145,2.435004598628479,1.1167253797136871,202379264,71294976,11341824,424964096,110194688,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297459712,12722176,36020224,28,18,46,2,2,2,2,46,0,0,0,0,0,0.008620192307692306,0.0030817490494296574,0.029446752265861024,0.017479619565217392,0.0014664723032069972,0.0030168067226890756,0.0032911153119092626,0.002674748025061291,0.02451295336787564,0.004747148288973383,0.06758823529411763,0.05523255813953486,0.0042932944606414005,0.004630252100840336,0.006366666666666662,0.004582892944701715
1693102122,15.73200530872504,3.188843016759778,0.8631673810308824,0.3858910810327411,9.921953034318424,8.801750778830595,0.3179661081796968,0.6390624323222918,2.6548755919898106,1.1117917891499487,0,0.3797108434269487,5.42736033907145,2.435004598628479,1.1109283053062646,202379264,71294976,11341824,424964096,110194688,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297459712,12722176,36282368,40,14,42,8,8,2,8,66,0,0,0,0,0,0.008620192307692306,0.0030817490494296574,0.029446752265861024,0.017479619565217392,0.0014664723032069972,0.0030168067226890756,0.0032911153119092626,0.002662714097496706,0.02451295336787564,0.004747148288973383,0.06758823529411763,0.05523255813953486,0.0042932944606414005,0.004630252100840336,0.006366666666666662,0.004582292490118577
1693102123,15.73200530872504,3.188843016759778,0.8631673810308824,0.3781941437685298,9.921953034318424,8.801750778830595,0.3179661081796968,0.6390624323222918,2.6548755919898106,1.1117917891499483,0,0.356523696223544,5.42736033907145,2.435004598628479,1.1109283053062646,202379264,71294976,11341824,424964096,110194688,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297459712,12722176,36282368,30,18,50,6,6,2,6,48,0,0,0,0,0,0.008620192307692306,0.0030817490494296574,0.029446752265861024,0.017479619565217392,0.0014664723032069972,0.0030168067226890756,0.0032911153119092626,0.002662714097496706,0.02451295336787564,0.004747148288973383,0.06758823529411763,0.05523255813953486,0.0042932944606414005,0.004630252100840336,0.006366666666666662,0.004582292490118577
1693102124,15.73200530872504,3.188843016759778,0.8631673810308826,0.3464840508793775,9.921953034318424,8.801750778830595,0.3179661081796968,0.6390624323222918,2.6548755919898106,1.1342170357076888,0,0.3026945601553926,5.42736033907145,2.4191058467041744,1.1109283053062646,202379264,71294976,11341824,424964096,110194688,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297459712,13660160,36282368,44,32,66,12,12,2,12,86,0,0,0,0,0,0.008651911468812877,0.003083499005964215,0.029446752265861024,0.017479619565217392,0.0014664723032069972,0.0030168067226890756,0.0032911153119092626,0.002662714097496706,0.024759124087591244,0.004750298210735588,0.06758823529411763,0.05523255813953486,0.0042932944606414005,0.004630252100840336,0.006366666666666662,0.004582292490118577
1693102125,15.73200530872504,3.188843016759778,0.8631673810308826,0.3537778889174106,9.921953034318424,8.801750778830595,0.3179661081796968,0.6390624323222918,2.6548755919898106,1.1342170357076888,0,0.29675249855166685,4.857011208422107,2.4191058467041744,0.9016841965286357,202379264,71294976,11341824,424964096,110194688,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297672704,13660160,36282368,38,20,48,12,12,2,12,88,0,0,0,0,0,0.008600425118977212,0.003081211232420576,0.029446752265861027,0.01747974389816361,0.0014664723032069972,0.003018348623853211,0.0032911153119092626,0.002662728061172138,0.024544511751161447,0.004746180218357038,0.0675882352941176,0.05523321508086402,0.0042932944606414005,0.00463302752293578,0.006366666666666662,0.004582294616329161
1693102126,14.873482107634354,3.188843016759778,0.8631673810308826,0.36107172695544365,9.921953034318424,8.801750778830595,0.3179661081796968,0.6390624323222918,2.6548755919898106,1.1342170357076888,0,0.2908104369479411,4.857011208422107,2.4191058467041744,0.9198047989488171,203034624,71294976,11341824,424964096,110194688,324317184,37261312,11251712,297926656,93208576,4018176,2957312,297672704,13660160,36282368,26,20,54,14,14,2,14,126,0,0,0,0,0,0.00858558994197292,0.0030734463276836156,0.029328386605783862,0.01781512605042017,0.001459302325581395,0.0030168067226890756,0.00325974025974026,0.0026713076713076717,0.024558201058201053,0.004732203389830507,0.06765476190476187,0.06299999999999994,0.0042918604651162795,0.004630252100840336,0.005858490566037732,0.0045866775866775875
