time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency,catalogue_latency,front-end_latency,orders_latency,payment_latency,queue-master_latency,shipping_latency,user_latency
1693104790,0.5330631168924642,0.0,0.8133380560831771,0.7733514737456172,0.5582511646241688,0.39704344197685265,0.8282215357501125,0.8919191169207004,0.3537467874430605,0.5607432746261684,0.5492112031786454,0.5642742979659577,0.30634147809515283,0.8709525857636207,0.5542452829978813,0.0,0.0,0.0,0.0,0.42896935933148017,0.5589743589743466,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3939393939393939,0.23809523809523808,0.4,0.5384615384615384,0.4,0.424242424242424,0.42857142857142855,0.41,0,0,0,0,0,0,1.0,0.008880320873721552,1.0,1.0,0.5187252547543342,0.9159663865546214,0.6460301375412961,0.3167021050967477
1693104791,0.5330631168924642,0.02558480985040452,0.8133380560831771,0.7733514737456172,0.5582511646241688,0.39704344197685265,0.8282215357501125,0.8919191169207004,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.30634147809515283,0.8709525857636207,0.5542452829978813,0.0,0.0,0.0,0.0,0.42896935933148017,0.5589743589743466,0.0,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.18181818181818182,0.3333333333333333,0.225,0.15384615384615385,0.06666666666666667,0.424242424242424,0.21428571428571427,0.16,0,0,0,0,0,0,0.24094045331846625,0.012214719246486863,0.7691539545445404,0.6383050103784105,0.37401694307238265,1.0,0.6608031830714788,0.17673715143691907
1693104792,0.5330631168924642,0.051169619700809195,0.8133380560831771,0.7733514737456172,0.5582511646241688,0.39704344197685265,0.8282215357501125,0.8972908956410722,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.30634147809515283,0.8709525857636207,0.5542452829978813,0.0,0.0,0.0,0.0,0.42896935933148017,0.5589743589743466,0.0,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.550590909090909,0.3692142857142858,0.4070625,0.4855,0.34886666666666666,0.9015151515151506,0.31253571428571425,0.35902999999999996,0,0,0,0,0,0,0.11543703524852285,0.0,0.7058022883164604,0.5924173175614208,0.6342904407420616,0.9159663865546214,0.7666976979499149,0.47952320122946407
1693104793,0.5330631168924642,0.07675442955121402,0.8135821330667427,0.31565679044494965,0.5582511646241688,0.39704344197685265,0.8282215357501125,0.8972908956410722,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.30634147809515283,0.8709525857636207,0.5542452829978813,0.0,0.0,0.014285714285716145,0.0,0.42896935933148017,0.5589743589743466,0.0,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.45454545454545453,0.3333333333333333,0.575,0.38461538461538464,0.3333333333333333,0.424242424242424,0.2857142857142857,0.37,0,0,0,0,0,0,0.11543703524852285,0.0,0.7058022883164604,0.5924173175614208,0.6342904407420616,0.9159663865546214,0.7256731354535662,0.35230719265065014
1693104794,0.5330631168924642,0.26827805195636906,0.8135821330667427,0.7331261999203648,0.5582511646241688,0.39704344197685265,0.4933586209876235,0.9199257803180162,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.30634147809515283,0.8709525857636207,0.5542452829978813,0.0,0.0,0.014285714285716145,0.0,0.42896935933148017,0.5589743589743466,0.0,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.21212121212121213,0.23809523809523808,0.2,0.07692307692307693,0.06666666666666667,0.424242424242424,0.21428571428571427,0.2,0,0,0,0,0,0,0.1157287586179979,0.0,0.7058022883164604,0.5924173175614208,0.6342904407420616,0.9159663865546214,0.7256731354535662,0.35230719265065014
1693104795,0.5330631168924642,0.26827805195636906,0.8135821330667427,0.7331261999203648,0.5582511646241688,0.5297977368914282,0.45475770862307147,0.9199257803180162,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.30634147809515283,0.8709525857636207,0.5542452829978813,0.0,0.0,0.014285714285716145,0.0,0.42896935933148017,0.1692307692307955,0.0,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.030303030303030304,0.47619047619047616,0.375,0.0,0.0,0.424242424242424,0.07142857142857142,0.04,0,0,0,0,0,0,0.11543703524852285,0.0,0.7058022883164604,0.5924173175614208,0.6342904407420616,0.9159663865546214,0.7256731354535662,0.35230719265065014
1693104796,0.5330631168924642,0.26827805195636906,0.8135821330667427,0.7331261999203648,0.5582511646241688,0.5297977368914282,0.9065994908528471,0.9199257803180162,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.3069094379811461,0.8709525857636207,0.5542452829978813,0.0,0.0,0.014285714285716145,0.0,0.42896935933148017,0.1692307692307955,0.04018547140649147,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.3333333333333333,0.38095238095238093,0.475,0.15384615384615385,0.13333333333333333,0.424242424242424,0.35714285714285715,0.32,0,0,0,0,0,0,0.016125882317232436,0.035274035056146125,0.42133257034041804,0.3644434850124112,0.5298851365293258,1.0,0.6645685025069038,0.24350756644829533
1693104797,0.5330631168924642,0.07933849534610485,0.8135821330667427,0.7331261999203648,0.5582511646241688,0.5297977368914282,0.9065994908528471,0.9199257803180162,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.5592839092666377,0.3069094379811461,0.48893499635426574,0.20335396161662517,0.0,0.0,0.014285714285716145,0.0,0.42896935933148017,0.1692307692307955,0.04018547140649147,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.5454545454545454,0.47619047619047616,0.5,0.3076923076923077,0.26666666666666666,0.424242424242424,0.21428571428571427,0.26,0,0,0,0,0,0,0.015203575641378591,0.16549388875948115,0.4631679201639728,0.4811869423153998,0.8111643451129965,0.9159663865546214,0.8197076621022026,0.46247636662399294
1693104798,0.5330631168924642,0.26804629808206104,0.8135821330667427,0.7331261999203648,0.5582511646241688,0.5297977368914282,0.935849941348837,0.9199257803180162,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.331043355799364,0.3069094379811461,0.44857319575041393,0.23088123726117904,0.0,0.05015873015872966,0.014285714285716145,0.0,0.42896935933148017,0.1692307692307955,0.04018547140649147,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.0,0.0,0.12121212121212122,0.09523809523809523,0.075,0.23076923076923078,0.2,0.424242424242424,0.2857142857142857,0.21,0,0,0,0,0,0,0.015203575641378591,0.16549388875948115,0.4631679201639728,0.4811869423153998,0.8111643451129965,0.9159663865546214,0.9321899211972747,0.33348684306244236
1693104799,0.5330631168924642,0.26804629808206104,0.8135821330667427,0.7902086373344831,0.5582511646241688,0.5297977368914282,0.935849941348837,0.9199257803180162,0.3537467874430605,0.6222632175218521,0.5492112031786454,0.3594376842348265,0.3069094379811461,0.9353318844113986,0.2584085129057326,0.0,0.05015873015872966,0.014285714285716145,0.0,0.42896935933148017,0.1692307692307955,0.04018547140649147,0.0,0.0,0.003773584905664132,0,0.49999999999999917,0.0,0.02380952380952725,0.0,0.3333333333333333,0.42857142857142855,0.45,0.8461538461538461,0.6666666666666666,0.424242424242424,0.5714285714285714,0.55,0,0,0,0,0,0,0.015203575641378591,0.16549388875948115,0.4631679201639728,0.4811869423153998,0.8111643451129965,0.9159663865546214,0.9321899211972747,0.33348684306244236
