time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693189402,14.178716100566097,2.7693174320170253,0.8873381480973916,0.4901361185032314,9.350495089016489,11.723818041727743,0.2770084331962081,0.6423009364520277,3.6256795229113563,1.2409936959132113,0,0.3265391666936034,5.765230567553757,2.9944008273117597,1.3660084542172624,200699904,71245824,9179136,424939520,107184128,323121152,38404096,9334784,288907264,93855744,4800512,2949120,300421120,13000704,35647488,44,18,52,12,12,2,12,86,0,0,0,0,0.008713163064833006,0.003078619367209971,0.02850678733031674,0.01836261980830671,0.001710227272727273,0.0030869565217391303,0.003239043824701195,0.0028836744882675984,0.023987199999999997,0.004741514860977947,0.0629639889196676,0.060882352941176526,0.004387500000000001,0.0047565217391304345,0.005474999999999999,0.0045983025461807285
1693189403,14.178716100566097,2.7693174320170253,0.8873381480973916,0.4901361185032314,8.026542905204163,11.723818041727743,0.2770084331962081,0.6423009364520277,3.6256795229113563,1.2409936959132113,0,0.3265391666936034,5.765230567553757,2.9944008273117597,1.3660084542172624,200699904,71245824,9179136,424939520,107184128,323121152,38404096,9334784,288907264,93855744,4800512,2949120,300421120,13000704,35647488,26,14,42,18,16,2,18,102,0,0,0,0,0.008713148311434861,0.003078619367209971,0.02850678733031674,0.01836261980830671,0.001710227272727273,0.0030869565217391303,0.0032264150943396228,0.0028767976989453503,0.023987188840591173,0.004741514860977947,0.0629639889196676,0.060882352941176526,0.004387500000000001,0.0047565217391304345,0.005125,0.004596069031639501
1693189404,14.178716100566097,2.8207830618545735,0.8873381480973916,0.47259924027552674,7.870701320387223,10.8133305219599,0.2830869404505501,0.6423009364520277,3.6256795229113563,1.2409936959132113,0,0.33386067712964623,5.765230567553757,2.9944008273117597,1.3561497914690248,200699904,71495680,9179136,424939520,107184128,322973696,38404096,9334784,288907264,93855744,4800512,2949120,300421120,13000704,35848192,16,14,26,8,8,2,8,44,0,0,0,0,0.008713163064833006,0.003078619367209971,0.02850678733031674,0.01836261980830671,0.001710227272727273,0.0030869565217391303,0.0032264150943396228,0.0028767976989453503,0.023987199999999997,0.004741514860977947,0.0629639889196676,0.060882352941176526,0.004387500000000001,0.0047565217391304345,0.005125,0.004596069031639501
1693189405,14.178716100566097,2.8207830618545735,0.8886602411687672,0.47259924027552674,7.714859735570282,10.8133305219599,0.2830869404505501,0.6423009364520277,3.6256795229113563,1.2409936959132113,0,0.33386067712964623,5.765230567553757,2.9944008273117597,1.3561497914690248,200699904,71495680,9203712,424939520,107184128,322973696,38404096,9334784,288907264,93855744,4800512,2949120,300421120,13000704,35848192,78,30,82,30,30,2,30,218,0,0,0,0,0.008713163064833006,0.003078619367209971,0.02850678733031674,0.01836261980830671,0.001710227272727273,0.0030869565217391303,0.0032264150943396228,0.0028767976989453503,0.023987199999999997,0.004741514860977947,0.0629639889196676,0.060882352941176526,0.004387500000000001,0.0047565217391304345,0.005125,0.004596069031639501
1693189406,14.178716100566097,2.8207830618545735,0.8942255886055293,0.47259924027552674,9.441566446116196,10.8133305219599,0.2830869404505501,0.6423009364520277,3.6256795229113563,1.2409936959132113,0,0.33386067712964623,5.765230567553757,2.9944008273117597,1.3561497914690248,200699904,71495680,9203712,424939520,107761664,322973696,38404096,9334784,288907264,93855744,4800512,2949120,300421120,13000704,35848192,52,18,52,14,14,2,14,118,0,0,0,0,0.008657786885245902,0.0030852390852390854,0.02842310855263158,0.018286885245901635,0.001664705882352941,0.0030952380952380953,0.003223076923076923,0.002872551450533102,0.02373000000000001,0.004753430353430353,0.062431192660550444,0.057325581395348796,0.004379999999999999,0.004771428571428571,0.005026315789473684,0.004595933548227126
1693189407,14.265592713761471,2.8207830618545735,0.8942255886055293,0.47259924027552674,9.441566446116196,10.8133305219599,0.2830869404505501,0.6423009364520277,3.6256795229113563,1.155392071908069,0,0.33386067712964623,5.765230567553757,2.9944008273117597,1.3561497914690248,207425536,71495680,9203712,424939520,107761664,322973696,38404096,9334784,288907264,93892608,4800512,2949120,300421120,13000704,35848192,28,8,34,6,6,2,6,46,0,0,0,0,0.00860238416075164,0.0030783190066857686,0.028575471698113208,0.018386167146974063,0.0016792452830188677,0.0030869565217391303,0.0032319391634980984,0.00288792270531401,0.02374578652733119,0.004740974212034383,0.06327397260273972,0.05765957446808518,0.004378975741239893,0.0047565217391304345,0.005280487804878035,0.004599227053140097
1693189408,14.265592713761471,2.7771709785244583,0.8942255886055293,0.47259924027552674,9.441566446116196,10.8133305219599,0.2307370879877322,0.6423009364520277,3.6256795229113563,1.155392071908069,0,0.33386067712964623,5.765230567553758,2.9944008273117597,1.3317452826282008,207425536,71495680,9203712,424939520,107761664,322973696,38404096,9334784,288907264,93892608,4800512,2949120,300421120,13000704,35848192,27.905,14,38,16,14,2,16,100,0,0,0,0,0.0086024645209324,0.0030783190066857686,0.028575471698113208,0.018386167146974063,0.0016792452830188677,0.0030869565217391303,0.0032190812720848056,0.0028781889220868767,0.023745862640163796,0.004740974212034383,0.06327397260273972,0.05765957446808518,0.004378975741239893,0.0047565217391304345,0.004994346289752651,0.004596230751551368
1693189409,14.265592713761471,2.7771709785244583,0.8942255886055293,0.47259924027552674,9.441566446116196,10.8133305219599,0.2855855931111889,0.6423009364520277,3.3116232484874537,1.155392071908069,0,0.33386067712964623,5.765230567553758,2.9944008273117597,1.3317452826282008,207425536,71495680,9203712,424939520,107761664,322973696,38666240,9334784,289062912,93892608,4800512,2949120,300421120,13000704,35848192,32,22,52,14,14,2,14,86,0,0,0,0,0.008602482005589688,0.0030783190066857686,0.028575471698113208,0.018386167146974063,0.0016792452830188677,0.0030869565217391303,0.0032190812720848056,0.0028781889220868767,0.02374588176134334,0.004740974212034383,0.06327397260273972,0.05765957446808518,0.004378975741239893,0.0047565217391304345,0.004994346289752651,0.004596230751551368
1693189410,14.265592713761471,2.7771709785244583,0.8942255886055293,0.47259924027552674,9.441566446116196,10.8133305219599,0.2855855931111889,0.6423009364520277,3.3116232484874537,1.155392071908069,0,0.33386067712964623,5.765230567553758,3.0331240067573066,1.3317452826282008,207425536,71495680,9203712,424939520,107761664,322973696,38666240,9334784,289062912,93892608,4800512,2949120,300421120,13066240,35848192,38.182,16,40,4,6,2,4,36,0,0,0,0,0.008602504243052884,0.0030783190066857686,0.028575471698113208,0.018386167146974063,0.0016792452830188677,0.0030869565217391303,0.0032190812720848056,0.0028781889220868767,0.023745903405437006,0.004740974212034383,0.06327397260273972,0.05765957446808518,0.004378975741239893,0.0047565217391304345,0.004994346289752651,0.004596230751551368
1693189411,14.265592713761471,2.7771709785244583,0.8942255886055293,0.47259924027552674,9.32524276957439,10.8133305219599,0.2855855931111889,0.6423009364520277,3.3116232484874537,1.155392071908069,0,0.33386067712964623,5.765230567553758,3.0331240067573066,1.3317452826282008,207425536,71495680,9203712,424939520,107761664,322973696,38666240,9334784,289062912,93892608,4800512,2949120,300421120,13066240,35848192,71.576,31.936,78,17.921,17.937,2,15.937,131.81,0,0,0,0,0.008521631625442267,0.0030809972944542854,0.02876124284546198,0.01835852420322027,0.0016312229948341613,0.0030754716981132076,0.0032202103575598,0.0028731501177719073,0.023494862718188122,0.004745795130017713,0.0632432432432433,0.05813997898837803,0.00437093813199834,0.004735849056603774,0.00499637864360764,0.004595230190487009
