time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693119230,13.89995007208277,3.0422352591981863,0.8199241421887185,0.48191823776843046,12.088794741272366,8.833326829774773,0.32325281222959323,0.6240331201644944,3.819415693993955,1.2775485495373913,0,0.29748344421143974,4.853389806686263,3.100092702945032,1.0537017232829158,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93913088,4632576,2953216,299409408,14921728,36040704,28,18,48,6,6,2,4,42,0,0,0,0,0,0.008658969804618118,0.003102415458937198,0.03133019674935842,0.017562849162011177,0.001544927536231884,0.0030512820512820517,0.0032862595419847324,0.0033120340788072413,0.024543828264758493,0.004784347826086956,0.0782608695652174,0.04888461538461539,0.004308985507246376,0.004692307692307693,0.006301724137931032,0.006331578947368421
1693119231,13.89995007208277,3.0422352591981863,0.8199241421887185,0.48191823776843046,12.088794741272366,8.833326829774773,0.32325281222959323,0.6240331201644944,3.819415693993955,1.2775485495373913,0.00004791471741684066,0.29748344421143974,4.853389806686263,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93913088,4632576,2953216,299409408,14921728,36286464,42,18,42,8,8,2,4,56,0,0,0,0,0,0.008658969804618118,0.003102415458937198,0.03133019674935842,0.017562849162011177,0.001544927536231884,0.0030512820512820517,0.0032862595419847324,0.003303293336737299,0.024543828264758493,0.004784347826086956,0.0782608695652174,0.04888461538461539,0.004308985507246376,0.004692307692307693,0.006301724137931032,0.006236159169550175
1693119232,13.89995007208277,3.0422352591981863,0.8199241421887185,0.48191823776843046,12.088794741272366,8.833326829774773,0.32325281222959323,0.5016581652282842,3.819415693993955,1.2775485495373913,0.00004791471741684066,0.29748344421143974,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93913088,4632576,2953216,299618304,14921728,36286464,28,20,56,10,10,2,8,66,0,0,0,0,0,0.008658969804618118,0.003102415458937198,0.03133019674935842,0.017562849162011177,0.001544927536231884,0.0030512820512820517,0.0032862595419847324,0.003303293336737299,0.024543828264758493,0.004784347826086956,0.0782608695652174,0.04888461538461539,0.004308985507246376,0.004692307692307693,0.006301724137931032,0.006236159169550175
1693119233,13.89995007208277,3.0422352591981863,0.8199241421887185,0.48191823776843046,12.088794741272366,8.833326829774773,0.32325281222959323,0.5121220208293916,3.819415693993955,1.2775485495373913,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93913088,4632576,2953216,299618304,14921728,36286464,44,22,56,6,6,2,8,58,0,0,0,0,0,0.008740958408679927,0.003109268292682927,0.03133019674935842,0.01768698060941828,0.0015889212827988341,0.0030560747663551406,0.003256029684601113,0.0033076531909483854,0.02891666666666654,0.004796682926829268,0.0782608695652174,0.05019607843137255,0.004317784256559767,0.004700934579439252,0.005788461538461537,0.006287904599659287
1693119234,13.89995007208277,3.0422352591981863,0.8199241421887185,0.48191823776843046,12.088794741272366,8.833326829774773,0.32325281222959323,0.5225858764304988,3.819415693993955,1.2775485495373913,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93913088,4632576,2953216,299618304,14921728,36286464,44,54,114,10,10,2,6,78,0,0,0,0,0,0.00868825722273998,0.003109311740890688,0.031378745318352066,0.01760593220338983,0.0015609065155807364,0.0030512820512820517,0.003265895953757225,0.0033131524008350732,0.028778409090909084,0.004796761133603239,0.07835964912280703,0.04935606060606061,0.004312181303116147,0.004692307692307693,0.005980769230769229,0.006347079037800691
1693119235,13.89995007208277,2.855420663923351,0.8199241421887185,0.48191823776843046,12.088794741272366,7.432263544446337,0.32325281222959323,0.533049732031606,3.819415693993955,1.2206297635457524,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93966336,4632576,2953216,299618304,14921728,36286464,48,14,52,22,18,2,18,106,0,0,0,0,0,0.008791855203619909,0.0031179883945841387,0.03161201022146507,0.01775139664804469,0.0015609065155807364,0.0030512820512820517,0.003256029684601113,0.00332331223628692,0.03394736842105248,0.00481237911025145,0.07929127725856697,0.0520754716981132,0.004312181303116147,0.004692307692307693,0.005788461538461537,0.0064544688026981455
1693119236,13.89995007208277,2.855420663923351,0.8199241421887185,0.48191823776843046,12.08879474127237,7.432263544446337,0.32325281222959323,0.5435135876327133,3.819415693993955,1.2206297635457524,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287555584,93966336,4632576,2953216,299618304,14921728,36286464,44,22,64,10,6,2,10,82,0,0,0,0,0,0.008791855203619909,0.0031179883945841387,0.03161201022146507,0.01775139664804469,0.0015609065155807364,0.0030512820512820517,0.003256029684601113,0.0033143359276926938,0.03394736842105248,0.00481237911025145,0.07929127725856697,0.0520754716981132,0.004312181303116147,0.004692307692307693,0.005788461538461537,0.006362211221122108
1693119237,13.89995007208277,2.855420663923351,0.8199241421887185,0.48191823776843046,12.08879474127237,7.432263544446337,0.32325281222959323,0.6278313360664356,3.2613541902854566,1.2206297635457524,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287617024,93966336,4632576,2953216,299618304,14921728,36286464,32,14,42,12,10,2,12,72,0,0,0,0,0,0.008791855203619909,0.0031179883945841387,0.03161201022146507,0.01775139664804469,0.0015609065155807364,0.0030512820512820517,0.003256029684601113,0.0033143359276926938,0.03394736842105248,0.00481237911025145,0.07929127725856697,0.0520754716981132,0.004312181303116147,0.004692307692307693,0.005788461538461537,0.006362211221122108
1693119238,13.587127502737605,2.855420663923351,0.8199241421887185,0.48191823776843046,12.08879474127237,7.432263544446337,0.32325281222959323,0.6278313360664356,1.6709620917299945,1.2206297635457524,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287617024,93966336,4632576,2953216,299618304,14921728,36286464,24,14,32,6,6,2,6,44,0,0,0,0,0,0.008693832599118942,0.00311417697431018,0.03161201022146507,0.017848360655737704,0.0016074498567335246,0.0030560747663551406,0.0032486288848263254,0.0033161580790395193,0.028226744186046555,0.004805518553758325,0.07929127725856697,0.05416666666666665,0.004321489971346705,0.004700934579439252,0.005637254901960792,0.006378466557911907
1693119239,13.587127502737605,2.855420663923351,0.6843879331312661,0.48191823776843046,12.08879474127237,7.432263544446337,0.3199118008701684,0.6278313360664356,1.7059699920825955,1.2330847549790371,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,209485824,70176768,11296768,424882176,107945984,329596928,39710720,10190848,287617024,93966336,4632576,2953216,299618304,14921728,36286464,54.879,18,48,14,16.549,2.273,8,111.033,0,0,0,0,0,0.008651556776556775,0.0031118743866535817,0.03177179962894249,0.01770891364902507,0.0015292479108635097,0.0030512820512820517,0.0032547528517110264,0.003312114989733059,0.02836309523809523,0.004801373895976447,0.0793979933110368,0.05278846153846153,0.004305849582172701,0.004692307692307693,0.005769999999999999,0.006337860780984715
1693119240,14.467394607773137,3.1423478854079945,0.8096470841006749,0.48191823776843046,9.845910624795685,7.432263544446337,0.3199118008701684,0.6278313360664356,1.7409778924351964,1.2330847549790371,0.00004791471741684066,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,210960384,70451200,11296768,424882176,108023808,329596928,39710720,10190848,287617024,93966336,4632576,2953216,299618304,14921728,36286464,58,22,66,14,14,2,10,98,0,0,0,0,0,0.008681657848324514,0.003113636363636363,0.03174452861952862,0.017883064516129032,0.0015292479108635097,0.0030512820512820517,0.003240143369175627,0.0033238591916558012,0.026130952380952376,0.004804545454545454,0.07919531249999999,0.055277777777777856,0.004305849582172701,0.004692307692307693,0.005449999999999999,0.006456810631229228
1693119241,14.467394607773137,3.1423478854079945,0.8096470841006749,0.49135313811997416,10.043477515248586,7.432263544446337,0.3199118008701684,0.6278313360664356,1.7759857927877973,1.2330847549790371,0.00006310914128076241,0.2925781607821575,4.446848867047741,3.100092702945032,1.0313791563275432,210960384,70451200,11296768,424882176,108023808,329596928,39710720,10190848,287617024,93966336,4632576,2953216,299618304,14921728,36286464,20,12,32,14,14,2,14,82,0,0,0,0,0,0.008681657848324514,0.003113636363636363,0.03174452861952862,0.017883064516129032,0.0015292479108635097,0.0030512820512820517,0.003240143369175627,0.0033151876708923693,0.026130952380952376,0.004804545454545454,0.07919531249999999,0.055277777777777856,0.004305849582172701,0.004692307692307693,0.005449999999999999,0.006368292682926833
1693119242,14.467394607773137,3.1423478854079945,0.6782885917643745,0.49135313811997416,11.854013427174044,7.432263544446337,0.3199118008701684,0.6278313360664356,1.8109936931403983,1.2330847549790371,0.0000643894208582048,0.2925781607821575,4.446848867047741,2.952419075266866,1.0313791563275432,210960384,70451200,11296768,424882176,108023808,329596928,39710720,10190848,287617024,93966336,4632576,2953216,299618304,14921728,36286464,30,18,54,10,10,2,8,64,0,0,0,0,0,0.008681657848324514,0.003113636363636363,0.03174452861952862,0.017883064516129032,0.0015292479108635097,0.0030512820512820517,0.003240143369175627,0.0033151876708923693,0.026130952380952376,0.004804545454545454,0.07919531249999999,0.055277777777777856,0.004305849582172701,0.004692307692307693,0.005449999999999999,0.006368292682926833
1693119243,14.467394607773137,3.1423478854079945,0.66479447369603,0.49135313811997416,11.854013427174044,7.84749007668183,0.3199118008701684,0.6335193945908594,2.1004740211560553,1.2330847549790371,0.00004682484654878971,0.251203545261994,2.0223978115622923,2.952419075266866,1.0313791563275432,210960384,70451200,11296768,424882176,108023808,331321344,39710720,11415552,287617024,93966336,4632576,2953216,299618304,14921728,36286464,48,10,44,10,12,2,16,136,0,0,0,0,0,0.008681537102473498,0.0031125703564727956,0.03174452861952862,0.017797619047619048,0.0015878962536023057,0.003037037037037037,0.0032277580071174376,0.0033155279503105585,0.02489718804920914,0.004802626641651032,0.07919531249999999,0.053365384615384606,0.004317579250720462,0.004666666666666666,0.005145833333333323,0.0063739837398373925
1693119244,14.467394607773137,3.1423478854079945,0.8272431379899199,0.47802103893030423,11.854013427174044,7.84749007668183,0.3199118008701684,0.6335193945908594,2.1004740211560553,1.2330847549790371,0.000055415112584614724,0.24632724258229136,2.415067692856682,3.0156875984213323,1.0313791563275432,210960384,70451200,11309056,424882176,108023808,331321344,39710720,11415552,287617024,93966336,4632576,2953216,299618304,15253504,36286464,34,18,48,14,14,2,16,114,0,0,0,0,0,0.008656853725850965,0.00310221793635487,0.0318336355394379,0.017665745856353592,0.0014761904761904762,0.003033898305084746,0.0032377358490566035,0.003315897435897436,0.02496678966789668,0.0047839922854387654,0.07923931623931624,0.05379999999999999,0.004295238095238096,0.0046610169491525435,0.005393617021276594,0.006379194630872485
1693119245,14.467394607773137,3.1423478854079945,0.8272431379899199,0.47802103893030423,11.854013427174044,7.84749007668183,0.2666064970501765,0.6335193945908594,2.1004740211560553,1.2330847549790371,0.000055415112584614724,0.24145093990258876,2.415067692856682,3.0156875984213323,0.7685781101508152,210960384,70451200,11309056,424882176,108023808,331321344,39710720,11415552,287617024,93966336,4632576,2953216,299618304,15253504,36286464,46,28,64,10,12,2,16,114,0,0,0,0,0,0.008679875333926982,0.0031125703564727956,0.03177170283806344,0.017673521850899744,0.0014761904761904762,0.003033898305084746,0.003222614840989399,0.003319958038290061,0.02480228471001758,0.004802626641651032,0.07897012578616351,0.051,0.004295238095238096,0.0046610169491525435,0.005010638297872329,0.006418781725888331
1693119246,14.467394607773137,3.1423478854079945,0.8272431379899199,0.47802103893030423,11.854013427174044,7.84749007668183,0.3246183154493597,0.6335193945908594,2.1004740211560553,1.2330847549790371,0.000055415112584614724,0.24130030972465571,2.415067692856682,3.0156875984213323,0.7841244914111036,210960384,70451200,11309056,424882176,108023808,331321344,39874560,11415552,287617024,93966336,4632576,2953216,299618304,15253504,36286464,12,8,32,6,8,2,4,20,0,0,0,0,0,0.008679875333926982,0.0031125703564727956,0.03177170283806344,0.017673521850899744,0.0014761904761904762,0.003033898305084746,0.003222614840989399,0.003305685454097957,0.02480228471001758,0.004802626641651032,0.07897012578616351,0.051,0.004295238095238096,0.0046610169491525435,0.005010638297872329,0.006267441860465114
