time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693235385,2.585635876410092,20.527684002773068,0.9206395041773785,0.3936148895080089,8.007535456412084,2.1408834255883695,0.31929167655813295,0.4767591175336492,0.9414146041488901,0.7774738233306054,0.00006534390749148148,0.28353887621445156,1.3866958078393932,2.516615298406693,1.1831143571152758,221384704,105467904,13393920,425938944,110088192,332525568,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,22,6,26,14,8,2,14,82,0,0,0,0,0,0,0.01759512195121951,0.003010928961748634,0.03173379483952171,0.018328358208955224,0.0017220630372492835,0.0002777777777777778,0.002566160520607375,0.0027793764988009594,0.04102661596958175,0.004619672131147541,0.06152597402597399,0.5097560975609755,0.00452779369627507,0.0005,0.004700650759219088,0.0047281108446576075
1693235386,2.585635876410092,20.527684002773068,0.9294520155508914,0.3936148895080089,8.007535456412084,2.1408834255883695,0.31929167655813295,0.5611314714621888,0.9414146041488901,0.7694514294027793,0.00006701547055484516,0.28353887621445156,1.3866958078393932,2.516615298406694,1.1831143571152758,221384704,105467904,13393920,425938944,110088192,332525568,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,26,22,42,10,8,2,8,60,0,0,0,0,0,0,0.01763917561985406,0.003010928961748634,0.03173379483952171,0.018328213970277018,0.0017221580483320733,0.0002777777777777778,0.0025661931173519897,0.0027793865461740283,0.04110055296993237,0.004619672131147541,0.06152597402597399,0.5097475007932358,0.0045278192160353205,0.0005,0.004700667200232404,0.00472812023581842
1693235387,2.585635876410092,20.527684002773068,0.8932326530159654,0.33133517361560416,8.007535456412084,2.1935158793445417,0.31929167655813295,0.5611314714621888,0.9414146041488901,0.7694514294027793,0.00006868703361820884,0.28353887621445156,1.3866958078393932,2.516615298406694,1.1831143571152758,221384704,105467904,13402112,425938944,110088192,332533760,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,44,14,48,18,16,2,18,114,0,0,0,0,0,0,0.017408326802115504,0.0030112570356472792,0.03161196911196911,0.017519173996750126,0.0017147728191275284,0.0002806122448979592,0.0025443864473526073,0.002769880970003018,0.040610848794536185,0.004620262664165103,0.05967426710097723,0.3951546394519238,0.0044699097372448105,0.0013333333333333322,0.0046534665503367165,0.004714596576054898
1693235388,2.585635876410092,20.527684002773068,0.8932326530159654,0.3247749254571373,8.007535456412084,2.1935158793445417,0.3258647223792831,0.5553944598701339,0.9414146041488901,0.7694514294027793,0.00007035859668157254,0.28353887621445156,1.3866958078393932,2.516615298406694,1.1831143571152758,221384704,105467904,13402112,425938944,110088192,332533760,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,42,22,54,10,10,2,10,80,0,0,0,0,0,0,0.017409729187562686,0.0030112570356472792,0.03161196911196911,0.01752043596730245,0.001713881019830028,0.0002830188679245283,0.002544086021505376,0.002769788033270727,0.040611545988258314,0.004620262664165103,0.05967426710097723,0.3952380952380952,0.004469688385269121,0.001571428571428573,0.004653333333333332,0.004714515696270459
1693235389,2.585635876410092,20.527684002773068,0.8932326530159654,0.37974441201987635,8.007535456412084,2.1935158793445417,0.3258647223792831,0.5553944598701339,0.9414146041488901,0.7694514294027793,0.00007203015974493622,0.28353887621445156,1.3866958078393932,2.516615298406694,1.1802130746508332,221384704,105467904,13402112,425938944,110088192,332533760,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,24,14,40,8,12,2,8,62,0,0,0,0,0,0,0.017408392478186253,0.0030112570356472792,0.03161196911196911,0.0175192330706933,0.0017147310787181277,0.0002830188679245283,0.0025903685753475153,0.0027810422645562615,0.04061088144608411,0.004620262664165103,0.05967426710097723,0.39515854621086827,0.004469899376929309,0.001571428571428573,0.004669494888486814,0.00471337686260213
1693235390,2.585635876410092,20.527684002773068,0.8932326530159654,0.37974441201987635,8.007535456412084,2.1935158793445417,0.3258647223792831,0.555394459870134,0.9414146041488901,0.7694514294027793,0.0000737017228082999,0.28353887621445156,1.3866958078393932,2.516615298406694,1.1802130746508332,221384704,105467904,13402112,425938944,110088192,332533760,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,22,10,34,8,8,2,8,66,0,0,0,0,0,0,0.017408456475866464,0.0030112570356472792,0.03161196911196911,0.017519290637448663,0.0017146904027369296,0.0002830188679245283,0.0025762751651016514,0.002781038084710919,0.04061091326312761,0.004620262664165103,0.05967426710097723,0.3951623532829938,0.0044698892808137086,0.001571428571428573,0.004659218598243308,0.00471337314306699
1693235391,2.585635876410092,20.527684002773068,0.8932326530159654,0.37974441201987635,7.944244979551973,2.1935158793445417,0.3258647223792831,0.555394459870134,0.9414146041488901,0.7694514294027793,0.00007537328587166359,0.28353887621445156,1.1931438885274104,2.516615298406694,1.1802130746508332,221384704,105467904,13402112,425938944,110088192,332533760,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,36,28,56,10,10,2,8,75.667,0,0,0,0,0,0,0.01742121848739496,0.0030112570356472792,0.03161196911196911,0.01752043596730245,0.001713881019830028,0.0002830188679245283,0.0025760171306209844,0.0027809678807224946,0.04063655030800823,0.004620262664165103,0.05967426710097723,0.3952380952380952,0.004469688385269121,0.001571428571428573,0.004659100642398286,0.00471330356926701
1693235392,2.585635876410092,20.527684002773068,0.8932326530159654,0.37974441201987635,7.944244979551973,2.1935158793445417,0.3258647223792831,0.555394459870134,0.9414146041488901,0.7694514294027793,0.00007704484893502727,0.27956457370147414,1.1700322917300872,2.516615298406694,1.1802130746508332,221384704,105467904,13402112,425938944,110088192,332533760,52641792,10936320,299225088,93716480,4743168,2932736,301805568,17534976,72314880,30,24,46,8,10,2,8,50,0,0,0,0,0,0,0.017309513416670606,0.0030091996320147194,0.03163887107119949,0.017075204175875196,0.001691189640296904,0.00028645833333333333,0.002574351014834762,0.002782996214409703,0.0406855154492137,0.004616559337626495,0.06012084592145018,0.21328370939393518,0.004434703537380105,0.0018571428571428547,0.004635172100716302,0.004709878224363228
1693235393,2.585635876410092,20.527684002773068,0.8932326530159654,0.37974441201987635,7.944244979551973,2.1935158793445417,0.32105066588721043,0.555394459870134,0.9414146041488901,0.7694514294027793,0.00007871641199839097,0.27956457370147414,1.146920694932764,2.541836348706483,1.1802130746508332,221384704,105467904,13402112,425938944,110088192,332533760,52711424,10936320,299225088,93716480,4743168,2932736,301805568,17539072,72314880,52,20,64,14,12,2,14,112,0,0,0,0,0,0,0.017310797174571138,0.0030091996320147194,0.03163887107119949,0.017076167076167076,0.0016904109589041096,0.0002857142857142857,0.0025741127348643004,0.0027829209896249,0.04068627450980392,0.004616559337626495,0.06012084592145018,0.21333333333333354,0.0044345205479452065,0.0018000000000000008,0.004635073068893528,0.004709816440542697
1693235394,2.585635876410092,20.527684002773068,0.8932326530159654,0.37974441201987635,7.944244979551973,2.1935158793445417,0.32105066588721043,0.555394459870134,0.9414146041488901,0.7694514294027793,0.00008038797506175465,0.27956457370147414,1.026343407500008,2.5059109488574585,1.199226853414333,221384704,105467904,13402112,425938944,110088192,332533760,52711424,10936320,299225088,93716480,4743168,2932736,301805568,17539072,72523776,16,2,14,6,4,2,6,32,0,0,0,0,0,0,0.017310694308958645,0.0030091996320147194,0.03163887107119949,0.017076089892094796,0.001690473383810514,0.0002857142857142857,0.0025671196094658004,0.002777666197327642,0.04068621368878614,0.004616559337626495,0.06012084592145018,0.213329355608592,0.004434535217742702,0.0018000000000000008,0.004638103364904338,0.004709692593230126
