time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693218231,3.2010835048803665,27.01767498145942,0.9515750912450928,0.4003959444203217,8.797415895031783,2.0210182618391257,0.26351668994563526,0.589916569418465,1.1459398596425368,0.627946052613929,0,0.30374529266132205,0.8836483663204475,2.4062444981862,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91611136,4694016,2916352,297394176,18391040,84606976,24,12,42,16,8,2,12,62,0,0,0,0,0.01959461443589593,0.002930720145852325,0.03249221183800623,0.015774193548387095,0.0003348314606741573,0.0002803030303030303,0.0025673469387755103,0.002567892475495099,0.04470132739162135,0.004591978122151321,0.0648729792147806,0.02349032258064516,0.003437333333333333,0.0012999999999999989,0.004513469387755102,0.004605569623999548
1693218232,3.2010835048803665,22.477541288621637,0.9515750912450928,0.4003959444203217,8.797415895031783,2.0210182618391257,0.26351668994563526,0.589916569418465,1.2183448323832282,0.6404094211739143,0,0.30374529266132205,0.8836483663204475,2.4062444981862,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91611136,4694016,2916352,297394176,18391040,84606976,44,12,52,4,14,2,8,98,0,0,0,0,0.019606162101253533,0.0029304666056724615,0.03256558400999375,0.015774193548387095,0.00033464125560538115,0.0002775229357798165,0.002545081967213115,0.002565428669309971,0.04503473125595768,0.004591948764867338,0.06516091954022987,0.02349032258064516,0.0034346666666666666,0.0004995412844036697,0.004509016393442623,0.004601520864482445
1693218233,2.7842042057867595,26.321418951177968,0.9515750912450928,0.3988174812827868,8.797415895031783,2.0210182618391257,0.26351668994563526,0.6006174865692463,1.484730170468035,0.6528727897338997,0,0.30374529266132205,0.8836483663204475,2.4062444981862,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91611136,4694016,2916352,297394176,18391040,84606976,38.016,18,38,10.024,12.016,2,8.016,94.048,0,0,0,0,0.01960613013680891,0.002924525040562329,0.03256558400999375,0.015774193548387095,0.00033464125560538115,0.0002775229357798165,0.002545081967213115,0.0025653787841168883,0.045034716225044784,0.00459079256981758,0.06516091954022987,0.02349032258064516,0.0034346666666666666,0.0004995412844036697,0.004509016393442623,0.004601510432562444
1693218234,2.841165358956561,26.321418951177968,0.8038747774990002,0.3418116103725393,8.797415895031783,2.0210182618391257,0.26351668994563526,0.6006174865692463,1.484730170468035,0.7478021135991216,0,0.30374529266132205,0.8836483663204475,2.4239443645212515,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91611136,4694016,2916352,297394176,18395136,84606976,58,22,84,18,20,2,22,152,0,0,0,0,0.01956970866539059,0.002924525040562329,0.03256558400999375,0.0158140756302521,0.0003297180043383948,0.0002775229357798165,0.002550200803212851,0.0025689462510286834,0.044991918913007155,0.00459079256981758,0.06516091954022987,0.023490546218487396,0.0033616438356164386,0.0004995412844036697,0.00451004016064257,0.004600490947284483
1693218235,2.8981265121263635,26.321418951177968,0.8009158055305967,0.4004835651164463,8.797415895031783,2.0210182618391257,0.26351668994563526,0.6006174865692463,1.484730170468035,0.7478021135991216,0,0.30374529266132205,0.8836483663204475,2.4239443645212515,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91611136,4694016,2916352,297394176,18395136,84606976,24,14,46,6,4,2,4,34,0,0,0,0,0.019569606093407244,0.0029245630174793012,0.03256558400999375,0.0158140756302521,0.0003297180043383948,0.0002775229357798165,0.002550200803212851,0.002565420016431948,0.044991872388257366,0.004590800367985281,0.06516091954022987,0.023490546218487396,0.0033616438356164386,0.0004995412844036697,0.00451004016064257,0.0045922422982362324
1693218236,3.417669190188129,26.321418951177968,0.7850019637910051,0.4004835651164463,8.797415895031783,2.0210182618391257,0.26351668994563526,0.6006174865692463,1.484730170468035,0.7954619040854052,0,0.30374529266132205,0.8836483663204475,2.4239443645212515,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91615232,4694016,2916352,297394176,18395136,84606976,18,14,50,2,8,2,2,52,0,0,0,0,0.019607276462201333,0.002924525040562329,0.03256558400999375,0.0158140756302521,0.0003297180043383948,0.00027499999999999996,0.002550200803212851,0.002565420016431948,0.04508927247860304,0.00459079256981758,0.06516091954022987,0.023490546218487396,0.0033616438356164386,0.0004949999999999999,0.00451004016064257,0.0045922422982362324
1693218237,3.417669190188129,26.321418951177968,0.7690881220514135,0.4004835651164463,8.797415895031783,1.6787643352530943,0.26351668994563526,0.6006174865692463,1.484730170468035,0.7954619040854052,0,0.30374529266132205,0.8836483663204475,2.4239443645212515,1.037532804642965,215969792,111448064,12328960,424984576,108339200,325877760,58765312,12259328,301297664,91615232,4694016,2916352,297394176,18395136,84606976,26.072,10,46,10,10,2,8,64,0,0,0,0,0.019603559870550163,0.0029245630174793012,0.03252965043695381,0.015845360824742267,0.00032786016949152533,0.00027272727272727274,0.0025279999999999994,0.00256710193458497,0.04514296754250387,0.004590800367985281,0.06514908256880736,0.023490721649484535,0.0033315068493150676,0.000490909090909091,0.004505599999999999,0.004589356648774393
1693218238,2.8914050960523263,26.321418951177968,0.9480998983402039,0.4004835651164463,8.797415895031783,1.7118864016825137,0.26351668994563526,0.6006174865692463,1.2539784599647352,0.7954619040854052,0,0.30374529266132205,0.8836483663204475,2.3878274234244037,1.037532804642965,215969792,111448064,12324864,424984576,108339200,325877760,58765312,12259328,301297664,91615232,4694016,2916352,297394176,18395136,84606976,30,12,32,8,12,2,12,76,0,0,0,0,0.019603559870550163,0.0029148936170212765,0.03252965043695381,0.015845360824742267,0.00032786016949152533,0.00027272727272727274,0.0025279999999999994,0.0025673758865248225,0.04514296754250387,0.004588899167437557,0.06514908256880736,0.023490721649484535,0.0033315068493150676,0.000490909090909091,0.004505599999999999,0.004589416257501364
1693218239,2.8344439428825243,26.321418951177968,0.9480998983402038,0.4004835651164463,8.97033908230961,1.745008468111933,0.26351668994563526,0.4954616241524794,1.2539784599647352,0.7954619040854052,0,0.30515417083662844,0.8836483663204475,2.3878274234244037,1.037532804642965,215969792,111448064,12324864,424984576,109731840,325877760,58765312,12259328,301297664,91615232,4694016,3047424,297394176,18395136,84606976,46,20,48,10,10,2,10,94,0,0,0,0,0.01959003215434084,0.0029148936170212765,0.03252965043695381,0.015865580448065172,0.0003275681341719078,0.00027272727272727274,0.002526838966202783,0.0025707688128226032,0.04511978361669243,0.004588899167437557,0.06514908256880736,0.023490835030549904,0.0033265306122448983,0.000490909090909091,0.0045117296222664015,0.004592393371366477
1693218240,3.2635798424080735,26.321418951177968,0.9480998983402038,0.4004835651164463,8.97033908230961,1.9873239857651603,0.26351668994563526,0.6002048779084838,1.2539784599647352,0.7954619040854052,0,0.30515417083662844,1.0038759357449962,2.3878274234244037,1.037532804642965,215977984,111448064,12324864,424984576,109731840,325877760,58765312,12259328,301297664,91615232,4694016,3047424,297394176,18395136,84606976,38,12,54,20,18,2,20,126,0,0,0,0,0.01959003215434084,0.0029148936170212765,0.03252965043695381,0.015865580448065172,0.0003275681341719078,0.00027272727272727274,0.002526838966202783,0.0025677280086346464,0.04511978361669243,0.004588899167437557,0.06514908256880736,0.023490835030549904,0.0033265306122448983,0.000490909090909091,0.0045117296222664015,0.0045929843497031836
