time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693155316,13.247378209719205,3.202996290070276,0.8381612464942354,0.4386709730293543,9.57293374647887,6.457664779619074,0.34174017470088447,0.627870337027305,4.070561090942936,0.9774696354768563,0.000041447642473171484,0.2959370441122006,4.13261787729911,2.7335111229128612,0.6868108899999997,206737408,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264712192,90124288,4702208,2945024,294330368,13615104,36077568,14,14,42,8,8,2,6,54,0,0,0,0,0.008310513212053042,0.0030791505791505787,0.03051301684532925,0.01666223404255319,0.0014485981308411217,0.0030512820512820517,0.003355371900826446,0.0031802487941101805,0.023054054054054057,0.004742471042471042,0.07037656903765692,0.03327272727272724,0.004289719626168225,0.004692307692307693,0.006746987951807231,0.0049244478293983245
1693155317,8.987831866201793,3.202996290070276,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,4.070561090942936,0.9774696354768563,0.000041447642473171484,0.2959370441122006,4.13261787729911,2.7335111229128612,1.0239706246369689,206737408,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264712192,90124288,4702208,2945024,294330368,13615104,36229120,44,12,50,16,18,2,18,132,0,0,0,0,0.008310513212053042,0.0030791505791505787,0.03051301684532925,0.01666223404255319,0.0014485981308411217,0.0030512820512820517,0.003355371900826446,0.003177654755913437,0.023054054054054057,0.004742471042471042,0.07037656903765692,0.03327272727272724,0.004289719626168225,0.004692307692307693,0.006746987951807231,0.004919778560644188
1693155318,8.80840089608851,3.202996290070276,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,4.070561090942936,0.7960832432023888,0.000041447642473171484,0.2959370441122006,4.13261787729911,2.7335111229128612,1.0239706246369689,206737408,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264712192,90124288,4702208,2945024,294330368,13615104,36229120,30,20,62,12,12,2,8,88,0,0,0,0,0.008310513212053042,0.0030791505791505787,0.03051301684532925,0.01666223404255319,0.0014485981308411217,0.0030512820512820517,0.003355371900826446,0.003177654755913437,0.023054054054054057,0.004742471042471042,0.07037656903765692,0.03327272727272724,0.004289719626168225,0.004692307692307693,0.006746987951807231,0.004919778560644188
1693155319,10.922674587688734,3.202996290070276,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,4.070561090942936,0.812482621969935,0.000041447642473171484,0.2959370441122006,4.13261787729911,2.7335111229128612,1.0239706246369689,215220224,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264712192,90124288,4702208,2945024,294330368,13615104,36229120,42,14,46,22,18,2,14,122,0,0,0,0,0.008309644012252215,0.0030791505791505787,0.03051301684532925,0.016794354838709676,0.0014140127388535039,0.0030512820512820517,0.003345833333333333,0.003174747474747475,0.023016409266409268,0.004742471042471042,0.07037656903765692,0.032971698113207513,0.0042828025477707,0.004692307692307693,0.006668749999999996,0.004914545454545456
1693155320,10.922674587688734,3.202996290070276,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,4.070561090942936,0.8288820007374815,0.000053002054638155245,0.2959370441122006,4.13261787729911,2.683219165019918,1.0239706246369689,215220224,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264712192,90124288,4702208,2945024,294330368,13615104,36229120,38,20,64,16,13.236,2,14,122,0,0,0,0,0.008208866446508055,0.0030803134182174337,0.030687984496124032,0.016873464373464372,0.0014882857874287936,0.0030560747663551406,0.0033908523908523906,0.0031896764633242776,0.02279058116232465,0.004744564152791381,0.07121926229508196,0.034139344262295056,0.004297657157485759,0.004700934579439252,0.007005494505494504,0.004941417633983701
1693155321,10.922674587688734,3.202996290070276,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,4.070561090942936,0.9839627260527842,0.000053002054638155245,0.2959370441122006,4.13261787729911,2.683219165019918,1.0239706246369689,215220224,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264712192,90124288,4702208,2945024,294330368,13615104,36229120,32,20,48,6,4,2,6,40,0,0,0,0,0.008208866446508055,0.0030803134182174337,0.030687984496124032,0.016873464373464372,0.001378698224852071,0.0030512820512820517,0.0033629343629343633,0.0031896764633242776,0.02279058116232465,0.004744564152791381,0.07121926229508196,0.034139344262295056,0.0042757396449704145,0.004692307692307693,0.0068021978021978015,0.004941417633983701
1693155322,10.922674587688734,2.7417915159359065,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,3.5613029565841363,0.9839627260527842,0.000053002054638155245,0.2959370441122006,4.13261787729911,2.683219165019918,1.0239706246369689,215220224,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264708096,90124288,4702208,2945024,294330368,13615104,36229120,32,22,56,10,8,2,8,72,0,0,0,0,0.008208866446508055,0.0030803134182174337,0.030687984496124032,0.016873464373464372,0.001378698224852071,0.0030512820512820517,0.0033629343629343633,0.003191933916423712,0.02279058116232465,0.004744564152791381,0.07121926229508196,0.034139344262295056,0.0042757396449704145,0.004692307692307693,0.0068021978021978015,0.004945481049562682
1693155323,10.922674587688734,2.688408244434736,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136707,0.34174017470088447,0.627870337027305,3.5613029565841363,0.9839627260527842,0.0000401294436228849,0.2899092091190546,4.13261787729911,2.683219165019918,1.0239706246369689,215220224,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264708096,90124288,4702208,2945024,294330368,13615104,36229120,20,16,16,6,6,2,4,30,0,0,0,0,0.008208866446508055,0.0030803134182174337,0.030687984496124032,0.016873464373464372,0.001378698224852071,0.0030512820512820517,0.0033629343629343633,0.003191933916423712,0.02279058116232465,0.004744564152791381,0.07121926229508196,0.034139344262295056,0.0042757396449704145,0.004692307692307693,0.0068021978021978015,0.004945481049562682
1693155324,10.922674587688734,2.5652981994939807,0.8381612464942354,0.4386709730293543,9.57293374647887,7.575541082136709,0.34174017470088447,0.627870337027305,3.5613029565841363,0.9839627260527842,0.0000401294436228849,0.2899092091190546,3.782281039844764,2.683219165019918,1.0239706246369689,215220224,71856128,10522624,424636416,108257280,324509696,37183488,11587584,264708096,90124288,4702208,2945024,294330368,13615104,36229120,36,12,48,6,6,2,6,54,0,0,0,0,0.008203698492628007,0.0030803134182174337,0.030687984496124032,0.0169589552238806,0.0013515151515151515,0.0030512820512820517,0.003337864077669903,0.00318798828125,0.022725903614457834,0.004744564152791381,0.07121926229508196,0.03317796610169496,0.0042703030303030305,0.004692307692307693,0.006595238095238095,0.00493837890625
1693155325,10.922674587688734,3.0815487391968532,0.8523456748397799,0.4386709730293543,9.57293374647887,7.575541082136709,0.34174017470088447,0.627870337027305,3.5613029565841363,0.9839627260527842,0.0000401294436228849,0.2938486748867749,3.2650525707198055,2.2219402503134322,1.0239706246369689,215220224,71901184,10522624,424636416,108257280,324509696,37183488,11587584,264708096,90124288,4702208,3076096,294404096,13615104,36229120,58,34,80,2,4,2,4,72,0,0,0,0,0.008138826864111152,0.003074001947419669,0.03038928012519562,0.016986552567237162,0.0014504504504504506,0.0030560747663551406,0.003357852882703778,0.003197470817120623,0.02199401197604792,0.004733203505355404,0.07078781512605042,0.03576612903225803,0.004290090090090091,0.004700934579439252,0.006764367816091957,0.004955447470817121
