time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1693164052,10.984329618487324,2.9842475583114507,0.8212254859413204,0.4601856458517353,10.159066628543009,9.27839796357616,0.29653429682924776,0.623910547596369,4.0227384996477555,1.1007193359602658,0,0.31079519647986315,4.381109622047249,2.7685597445501227,1.0566714376836244,202387456,71319552,10993664,424665088,108036096,326856704,37203968,9396224,280035328,89190400,4767744,2953216,299024384,13791232,36122624,24,26,66,4,8,2,6,52,0,0,0,0,0,,0.008208591674047831,0.003023744292237443,0.028450980392156856,0.017033678756476683,0.0015606936416184976,0.0030168067226890756,0.003736842105263158,0.0030586716733161227,0.022362903225806457,0.004642739726027397,0.06624708624708625,0.03949152542372883,0.004321387283236994,0.004630252100840336,0.008465753424657536,0.0047056090119690225
1693164053,10.984329618487324,2.9842475583114507,0.8212254859413204,0.4601856458517353,10.159066628543009,9.27839796357616,0.29653429682924776,0.623910547596369,4.0227384996477555,0.9416684494677184,0,0.31079519647986315,4.381109622047249,2.7685597445501227,1.0566714376836244,202387456,71319552,10993664,424665088,108036096,326856704,37203968,9396224,280035328,89190400,4767744,2953216,299024384,13791232,36122624,46,12,46,20,14,2,18,124,0,0,0,0,0,,0.008208591674047831,0.003023744292237443,0.028450980392156856,0.017033678756476683,0.0015606936416184976,0.0030168067226890756,0.003736842105263158,0.0030597618512693777,0.022362903225806457,0.004642739726027397,0.06624708624708625,0.03949152542372883,0.004321387283236994,0.004630252100840336,0.008465753424657536,0.00470757133228488
1693164054,10.984329618487324,2.9842475583114507,0.8345245542082738,0.38788664600804557,10.159066628543009,9.27839796357616,0.29653429682924776,0.623910547596369,2.744704073855283,0.9233231272017142,0,0.31079519647986315,4.381109622047249,2.7685597445501227,1.0566714376836244,202387456,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89190400,4767744,2953216,299024384,13791232,36122624,40,22,64,12,10,2,10,84,0,0,0,0,0,,0.008208591674047831,0.003023744292237443,0.028450980392156856,0.017033678756476683,0.0015606936416184976,0.0030168067226890756,0.003736842105263158,0.0030597618512693777,0.022362903225806457,0.004642739726027397,0.06624708624708625,0.03949152542372883,0.004321387283236994,0.004630252100840336,0.008465753424657536,0.00470757133228488
1693164055,10.984329618487324,2.9842475583114507,0.8345245542082738,0.38021688524385006,10.159066628543009,9.27839796357616,0.29653429682924776,0.623910547596369,2.79924834474177,0.9094811272397776,0,0.31079519647986315,4.381109622047249,2.7685597445501227,1.0566714376836244,202387456,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89190400,4767744,2953216,299024384,13791232,36122624,24,14,38,16,16,2,18,100,0,0,0,0,0,,0.008235567970204843,0.003025500910746812,0.028450980392156856,0.01718085106382979,0.0015460122699386498,0.0030168067226890756,0.003706697459584296,0.0030583842498302784,0.022455056179775282,0.004645901639344262,0.06624708624708625,0.0400877192982456,0.00430920245398773,0.004630252100840336,0.008420289855072469,0.0047050916496945
1693164056,10.984329618487324,2.9842475583114507,0.8345245542082738,0.37254712447965443,10.159066628543009,9.27839796357616,0.29653429682924776,0.623910547596369,3.272656253189219,1.046809099065583,0,0.31079519647986315,4.381109622047249,2.7685597445501227,1.0739601782433836,202387456,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89354240,4767744,2953216,299024384,13791232,36122624,22,10,20,10,8,2,10,60,0,0,0,0,0,,0.008220615671641791,0.003026390197926484,0.02870135363790186,0.017125,0.0015459610027855155,0.003018348623853211,0.0037460674157303374,0.0030604395604395596,0.023016129032258054,0.004647502356267672,0.06660804020100505,0.04110655737704921,0.004309192200557103,0.00463302752293578,0.008473509933774834,0.004708791208791208
1693164057,10.984329618487324,2.9842475583114507,0.8345245542082738,0.4478645548577762,10.159066628543009,9.27839796357616,0.29653429682924776,0.623910547596369,3.272656253189219,1.046809099065583,0,0.2417974280689658,4.381109622047249,2.7685597445501227,1.0739601782433836,202387456,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89354240,4767744,2953216,299024384,13791232,36122624,48,18,58,10,8,2,10,88,0,0,0,0,0,,0.008269927536231885,0.0030273224043715847,0.028887373343725643,0.017270408163265305,0.0015459610027855155,0.0030168067226890756,0.003737777777777778,0.0030618173367418077,0.023314917127071816,0.004649180327868851,0.06752821670428891,0.04207692307692307,0.004309192200557103,0.004630252100840336,0.008456953642384104,0.004711271206135253
1693164058,10.984329618487324,2.9842475583114507,0.8345245542082738,0.4478645548577762,10.159066628543009,9.27839796357616,0.29653429682924776,0.6249395058525051,3.272656253189219,1.046809099065583,0,0.24687963496551757,4.381109622047249,2.7867116888090258,1.0739601782433836,202387456,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89354240,4767744,2953216,299024384,13791232,36122624,25.829,18.894,40,13.921,14.121,2,13.941,87.822,0,0,0,0,0,,0.008269960462703268,0.0030273224043715847,0.028887373343725643,0.017270505988114446,0.0015458872348189689,0.0030168067226890756,0.003737731445778228,0.003060712472863813,0.02331495685802845,0.004649180327868851,0.06752821670428891,0.04207713290284216,0.004309177446963794,0.004630252100840336,0.00845687406088263,0.004709282451154864
1693164059,10.984329618487324,2.9842475583114507,0.8345245542082738,0.4478645548577762,10.159066628543009,9.27839796357616,0.29653429682924776,0.6249395058525051,3.272656253189219,1.046809099065583,0,0.25196184186206927,3.949766144385986,2.783277833694806,1.0739601782433836,202387456,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89354240,4767744,2953216,299024384,14045184,36122624,40,20,48,6,8,2,6,56,0,0,0,0,0,,0.008269927536231885,0.0030273224043715847,0.028887373343725643,0.017270408163265305,0.0015459610027855155,0.0030168067226890756,0.003737777777777778,0.0030607142857142855,0.023314917127071816,0.004649180327868851,0.06752821670428891,0.04207692307692307,0.004309192200557103,0.004630252100840336,0.008456953642384104,0.004709285714285714
1693164060,11.56720779147687,2.9842475583114507,0.8345245542082738,0.4478645548577762,10.159066628543009,7.685508563801384,0.29653429682924776,0.6249395058525051,3.272656253189219,1.046809099065583,0.00005065783553211736,0.25704404875862097,3.949766144385986,2.783277833694806,1.0739601782433836,204890112,71319552,11132928,424665088,108036096,326856704,37203968,9396224,280911872,89354240,4767744,2953216,299024384,14045184,36122624,22,8,28,16,18,2,12,80.193,0,0,0,0,0,,0.008236692015209126,0.0030274977085242892,0.028887373343725643,0.01742084432717678,0.0015373134328358208,0.0030168067226890756,0.003695067264573991,0.0030590090090090094,0.022945205479452058,0.004649495875343721,0.06752821670428891,0.04253906250000003,0.004307462686567164,0.004630252100840336,0.008389285714285712,0.004706216216216216
1693164061,11.56720779147687,2.9478351764340656,0.8345245542082738,0.4478645548577762,10.159066628543009,7.728287914115244,0.29653429682924776,0.6249395058525051,3.272656253189219,1.046809099065583,0.00005065783553211736,0.3049324137931038,3.949766144385986,2.783277833694806,1.0739601782433836,204890112,71434240,11132928,424665088,108036096,327667712,37203968,9396224,280911872,89354240,4767744,2953216,299024384,14045184,36122624,30,16,56,12,8,2,14,87.714,0,0,0,0,0,,0.00807123034227567,0.0030265906932573595,0.02914929107589658,0.017212276214833757,0.001490358126721763,0.003018348623853211,0.003752212389380531,0.0030620446251383286,0.02223493975903615,0.004647863247863248,0.06700245700245704,0.041328124999999986,0.004298071625344352,0.00463302752293578,0.00847741935483871,0.004711680325248992
